PassengerId,Survived,SibSp,Parch,Fare,Cabin,is_male,norm_age,emb_s,emb_c,Pclass_1,Pclass_2
1,0,1,0,7.25,,1,0.2711736617240513,1,0,0,0
2,1,1,0,71.2833,C85,0,0.4722292033174164,0,1,1,0
3,1,0,0,7.925,,0,0.32143754712239253,1,0,0,0
4,1,1,0,53.1,C123,0,0.43453128926866047,1,0,1,0
5,0,0,0,8.05,,1,0.43453128926866047,1,0,0,0
7,0,0,0,51.8625,E46,1,0.6732847449107816,1,0,1,0
8,0,3,1,21.075,,1,0.01985423473234481,1,0,0,0
9,1,0,2,11.1333,,0,0.33400351847197784,1,0,0,0
10,1,1,0,30.0708,,0,0.17064589092736868,0,1,0,1
11,1,1,1,16.7,G6,0,0.04498617743151546,1,0,0,0
12,1,0,0,26.55,C103,0,0.7235486303091229,1,0,1,0
13,0,0,0,8.05,,1,0.24604171902488062,1,0,0,0
14,0,1,5,31.275,,1,0.4847951746670017,1,0,0,0
15,0,0,0,7.8542,,0,0.17064589092736868,1,0,0,0
16,1,0,0,16.0,,0,0.6858507162603669,1,0,0,1
17,0,4,1,29.125,,1,0.01985423473234481,0,0,0,0
19,0,1,0,18.0,,0,0.38426740387031916,1,0,0,0
21,0,0,0,26.0,,1,0.43453128926866047,1,0,0,1
22,1,0,0,13.0,D56,1,0.42196531791907516,1,0,0,1
23,1,0,0,8.0292,,0,0.18321186227695402,0,0,0,0
24,1,0,0,35.5,A6,1,0.3465694898215632,1,0,1,0
25,0,3,1,21.075,,0,0.09525006282985675,1,0,0,0
26,1,1,5,31.3875,,0,0.4722292033174164,1,0,0,0
28,0,3,2,263.0,C23 C25 C27,1,0.23347574767529528,1,0,1,0
31,0,0,0,27.7208,,1,0.4973611460165871,0,1,1,0
34,0,0,0,10.5,,1,0.8240764011058055,1,0,0,1
35,0,1,0,82.1708,,1,0.3465694898215632,0,1,1,0
36,0,1,0,52.0,,1,0.5224930887157577,1,0,1,0
38,0,0,0,8.05,,1,0.2586076903744659,1,0,0,0
39,0,2,0,18.0,,0,0.22090977632570996,1,0,0,0
40,1,1,0,11.2417,,0,0.17064589092736868,0,1,0,0
41,0,1,0,9.475,,0,0.4973611460165871,1,0,0,0
42,0,1,0,21.0,,0,0.33400351847197784,1,0,0,1
44,1,1,2,41.5792,,0,0.032420206081930136,0,1,0,1
45,1,0,0,7.8792,,0,0.23347574767529528,0,0,0,0
50,0,1,0,17.8,,0,0.22090977632570996,1,0,0,0
51,0,4,1,39.6875,,1,0.08268409148027142,1,0,0,0
52,0,0,0,7.8,,1,0.2586076903744659,1,0,0,0
53,1,1,0,76.7292,D33,0,0.610454888162855,0,1,1,0
54,1,1,0,26.0,,0,0.35913546117114853,1,0,0,1
55,0,0,1,61.9792,B30,1,0.8115104297562201,0,1,1,0
